Date, Open, High, Low, Close
07/29/88, 272.02, 272.02, 266.02, 272.02
07/28/88, 266.02, 266.55, 262.50, 266.02
07/27/88, 262.50, 265.83, 262.48, 262.50
07/26/88, 265.19, 266.09, 264.32, 265.19
07/25/88, 264.68, 265.17, 263.03, 264.68
07/22/88, 263.50, 266.66, 263.29, 263.50
07/21/88, 266.66, 270.00, 266.66, 266.66
07/20/88, 270.00, 270.24, 268.47, 270.00
07/19/88, 268.47, 271.21, 267.01, 268.47
07/18/88, 270.51, 272.05, 268.66, 270.51
07/15/88, 272.05, 272.06, 269.53, 272.05
07/14/88, 270.26, 270.69, 268.58, 270.26
07/13/88, 269.32, 269.46, 266.12, 269.32
07/12/88, 267.85, 270.70, 266.96, 267.85
07/11/88, 270.55, 271.64, 270.02, 270.55
07/08/88, 270.02, 272.31, 269.86, 270.02
07/07/88, 271.78, 272.05, 269.31, 271.78
07/06/88, 272.02, 276.36, 269.92, 272.02
07/05/88, 275.81, 275.81, 270.51, 275.81
07/01/88, 271.78, 273.80, 270.78, 271.78
06/30/88, 273.50, 273.51, 270.97, 273.50
06/29/88, 270.98, 273.01, 269.49, 270.98
06/28/88, 272.31, 272.80, 269.06, 272.31
06/27/88, 269.06, 273.79, 268.85, 269.06
06/24/88, 273.78, 275.19, 273.53, 273.78
06/23/88, 274.82, 275.89, 274.26, 274.82
06/22/88, 275.66, 276.88, 271.67, 275.66
06/21/88, 271.67, 271.67, 267.52, 271.67
06/20/88, 268.94, 270.68, 268.59, 268.94
06/17/88, 270.68, 270.77, 268.09, 270.68
06/16/88, 269.77, 274.45, 268.76, 269.77
06/15/88, 274.45, 274.45, 272.75, 274.45
06/14/88, 274.30, 276.14, 271.44, 274.30
06/13/88, 271.43, 271.94, 270.53, 271.43
06/10/88, 271.26, 273.21, 270.20, 271.26
06/09/88, 270.20, 272.10, 270.21, 270.20
06/08/88, 271.52, 272.01, 265.17, 271.52
06/07/88, 265.17, 267.28, 264.50, 265.17
06/06/88, 267.05, 267.05, 264.97, 267.05
06/03/88, 266.45, 267.11, 264.42, 266.45
06/02/88, 265.33, 266.71, 264.12, 265.33
06/01/88, 266.69, 267.43, 262.10, 266.69
05/31/88, 262.16, 262.16, 253.42, 262.16
05/27/88, 253.42, 254.63, 252.74, 253.42
05/26/88, 254.63, 254.98, 253.52, 254.63
05/25/88, 253.76, 255.34, 253.51, 253.76
05/24/88, 253.51, 253.51, 250.83, 253.51
05/23/88, 250.83, 253.02, 249.82, 250.83
05/20/88, 253.02, 253.70, 251.79, 253.02
05/19/88, 252.57, 252.57, 248.85, 252.57
05/18/88, 251.35, 255.67, 250.73, 251.35
05/17/88, 255.39, 260.20, 255.35, 255.39
05/16/88, 258.71, 258.71, 256.28, 258.71
05/13/88, 256.78, 256.83, 253.85, 256.78
05/12/88, 253.85, 254.87, 253.31, 253.85
05/11/88, 253.31, 257.62, 252.32, 253.31
05/10/88, 257.62, 258.30, 255.93, 257.62
05/09/88, 256.54, 258.22, 255.45, 256.54
05/06/88, 257.48, 260.31, 257.03, 257.48
05/05/88, 258.79, 260.32, 258.13, 258.79
05/04/88, 260.32, 263.23, 260.31, 260.32
05/03/88, 263.00, 263.70, 261.55, 263.00
05/02/88, 261.56, 261.56, 259.99, 261.56
04/29/88, 261.33, 262.61, 259.97, 261.33
04/28/88, 262.61, 263.80, 262.22, 262.61
04/27/88, 263.80, 265.09, 263.45, 263.80
04/26/88, 263.93, 265.06, 262.18, 263.93
04/25/88, 262.46, 263.29, 260.14, 262.46
04/22/88, 260.14, 261.16, 256.42, 260.14
04/21/88, 256.42, 260.44, 254.71, 256.42
04/20/88, 256.13, 258.54, 256.12, 256.13
04/19/88, 257.92, 262.38, 257.91, 257.92
04/18/88, 259.21, 259.81, 258.03, 259.21
04/15/88, 259.77, 260.39, 255.97, 259.77
04/14/88, 259.75, 271.57, 259.37, 259.75
04/13/88, 271.55, 271.70, 269.23, 271.55
04/12/88, 271.37, 272.05, 269.66, 271.37
04/11/88, 270.16, 270.41, 268.61, 270.16
04/08/88, 269.43, 270.22, 266.11, 269.43
04/07/88, 266.16, 267.32, 265.22, 266.16
04/06/88, 265.49, 265.50, 258.22, 265.49
04/05/88, 258.51, 258.52, 256.03, 258.51
04/04/88, 256.09, 258.86, 256.09, 256.09
03/31/88, 258.89, 259.03, 256.16, 258.89
03/30/88, 258.07, 261.59, 257.92, 258.07
03/29/88, 260.07, 260.86, 258.06, 260.07
03/28/88, 258.06, 258.51, 256.07, 258.06
03/25/88, 258.51, 263.44, 258.12, 258.51
03/24/88, 263.35, 268.91, 262.48, 263.35
03/23/88, 268.91, 269.79, 268.01, 268.91
03/22/88, 268.84, 269.61, 267.90, 268.84
03/21/88, 268.74, 271.12, 267.42, 268.74
03/18/88, 271.12, 272.64, 269.76, 271.12
03/17/88, 271.22, 271.22, 268.65, 271.22
03/16/88, 268.65, 268.68, 264.81, 268.65
03/15/88, 266.13, 266.41, 264.92, 266.13
03/14/88, 266.37, 266.55, 264.52, 266.37
03/11/88, 264.94, 264.94, 261.27, 264.94
03/10/88, 263.84, 269.35, 263.80, 263.84
03/09/88, 269.06, 270.76, 268.65, 269.06
03/08/88, 269.43, 270.06, 267.38, 269.43
03/07/88, 267.38, 267.69, 265.94, 267.38
03/04/88, 267.30, 268.40, 264.72, 267.30
03/03/88, 267.88, 268.40, 266.82, 267.88
03/02/88, 267.98, 268.75, 267.00, 267.98
03/01/88, 267.22, 267.95, 265.39, 267.22
02/29/88, 267.82, 267.82, 262.46, 267.82
02/26/88, 262.46, 263.00, 261.38, 262.46
02/25/88, 261.58, 267.75, 261.05, 261.58
02/24/88, 264.43, 266.25, 263.87, 264.43
02/23/88, 265.02, 266.12, 263.11, 265.02
02/22/88, 265.64, 266.06, 260.88, 265.64
02/19/88, 261.61, 261.61, 257.62, 261.61
02/18/88, 257.91, 259.60, 256.90, 257.91
02/17/88, 259.21, 261.47, 257.83, 259.21
02/16/88, 259.83, 259.84, 256.57, 259.83
02/12/88, 257.63, 258.86, 255.85, 257.63
02/11/88, 255.95, 257.77, 255.12, 255.95
02/10/88, 256.66, 256.92, 251.72, 256.66
02/09/88, 251.72, 251.72, 248.66, 251.72
02/08/88, 249.10, 250.96, 247.82, 249.10
02/05/88, 250.96, 253.85, 250.90, 250.96
02/04/88, 252.21, 253.03, 250.34, 252.21
02/03/88, 252.21, 256.98, 250.56, 252.21
02/02/88, 255.57, 256.08, 252.80, 255.57
02/01/88, 255.04, 258.27, 254.93, 255.04
01/29/88, 257.07, 257.07, 252.70, 257.07
01/28/88, 253.29, 253.66, 249.38, 253.29
01/27/88, 249.38, 253.02, 248.50, 249.38
01/26/88, 249.57, 252.17, 249.10, 249.57
01/25/88, 252.17, 252.87, 246.50, 252.17
01/22/88, 246.50, 246.50, 243.14, 246.50
01/21/88, 243.14, 244.25, 240.17, 243.14
01/20/88, 242.63, 249.32, 241.14, 242.63
01/19/88, 249.32, 253.33, 248.75, 249.32
01/18/88, 251.88, 252.86, 249.98, 251.88
01/15/88, 252.05, 253.65, 245.88, 252.05
01/14/88, 245.88, 247.00, 243.97, 245.88
01/13/88, 245.81, 249.25, 241.41, 245.81
01/12/88, 245.42, 247.49, 240.46, 245.42
01/11/88, 247.49, 247.51, 241.07, 247.49
01/08/88, 243.40, 261.07, 242.95, 243.40
01/07/88, 261.07, 261.32, 256.18, 261.07
01/06/88, 258.89, 259.79, 257.18, 258.89
01/05/88, 258.63, 261.78, 255.94, 258.63
01/04/88, 255.94, 256.44, 247.08, 255.94
12/31/87, 247.08, 247.86, 245.22, 247.08
12/30/87, 247.86, 248.06, 244.59, 247.86
12/29/87, 244.59, 245.88, 244.28, 244.59
12/28/87, 245.57, 252.02, 244.19, 245.57
12/24/87, 252.02, 253.16, 251.68, 252.02
12/23/87, 253.16, 253.35, 249.95, 253.16
12/22/87, 249.95, 249.97, 247.01, 249.95
12/21/87, 249.54, 250.25, 248.30, 249.54
12/18/87, 249.16, 249.18, 242.98, 249.16
12/17/87, 242.98, 248.60, 242.96, 242.98
12/16/87, 248.08, 248.11, 242.80, 248.08
12/15/87, 242.80, 245.59, 241.31, 242.80
12/14/87, 242.19, 242.34, 235.04, 242.19
12/11/87, 235.32, 235.48, 233.35, 235.32
12/10/87, 233.57, 240.05, 233.40, 233.57
12/09/87, 238.89, 240.09, 233.83, 238.89
12/08/87, 234.91, 234.92, 228.69, 234.91
12/07/87, 228.76, 228.77, 223.92, 228.76
12/04/87, 223.92, 225.77, 221.24, 223.92
12/03/87, 225.21, 233.90, 225.21, 225.21
12/02/87, 233.45, 234.56, 230.31, 233.45
12/01/87, 232.00, 234.02, 230.30, 232.00
11/30/87, 230.30, 240.34, 225.78, 230.30
11/27/87, 240.34, 244.12, 240.34, 240.34
11/25/87, 244.10, 246.54, 244.08, 244.10
11/24/87, 246.39, 247.90, 242.98, 246.39
11/23/87, 242.99, 242.99, 240.50, 242.99
11/20/87, 242.00, 242.00, 235.89, 242.00
11/19/87, 240.05, 245.55, 239.70, 240.05
11/18/87, 245.55, 245.55, 240.67, 245.55
11/17/87, 243.04, 243.41, 240.93, 243.04
11/16/87, 246.76, 249.24, 244.98, 246.76
11/13/87, 245.64, 249.42, 245.64, 245.64
11/12/87, 248.52, 249.90, 241.90, 248.52
11/11/87, 241.90, 243.86, 239.00, 241.90
11/10/87, 239.00, 243.17, 237.64, 239.00
11/09/87, 243.17, 250.41, 243.01, 243.17
11/06/87, 250.41, 257.21, 249.68, 250.41
11/05/87, 254.48, 256.09, 247.72, 254.48
11/04/87, 248.96, 250.57, 246.94, 248.96
11/03/87, 250.82, 255.75, 242.78, 250.82
11/02/87, 255.75, 255.75, 249.15, 255.75
10/30/87, 251.79, 254.04, 244.77, 251.79
10/29/87, 244.77, 246.69, 233.28, 244.77
