Date,Open,High,Low,Close
1988-02-05,250.96,253.85,250.9,250.96
1988-02-04,252.21,253.03,250.34,252.21
1988-02-03,252.21,256.98,250.56,252.21
1988-02-02,255.57,256.08,252.8,255.57
1988-02-01,255.04,258.27,254.93,255.04
1988-01-29,257.07,257.07,252.7,257.07
1988-01-28,253.29,253.66,249.38,253.29
1988-01-27,249.38,253.02,248.5,249.38
1988-01-26,249.57,252.17,249.1,249.57
1988-01-25,252.17,252.87,246.5,252.17
1988-01-22,246.5,246.5,243.14,246.5
1988-01-21,243.14,244.25,240.17,243.14
1988-01-20,242.63,249.32,241.14,242.63
1988-01-19,249.32,253.33,248.75,249.32
1988-01-18,251.88,252.86,249.98,251.88
1988-01-15,252.05,253.65,245.88,252.05
1988-01-14,245.88,247.0,243.97,245.88
1988-01-13,245.81,249.25,241.41,245.81
1988-01-12,245.42,247.49,240.46,245.42
1988-01-11,247.49,247.51,241.07,247.49
1988-01-08,243.4,261.07,242.95,243.4
1988-01-07,261.07,261.32,256.18,261.07
1988-01-06,258.89,259.79,257.18,258.89
1988-01-05,258.63,261.78,255.94,258.63
1988-01-04,255.94,256.44,247.08,255.94
1987-12-31,247.08,247.86,245.22,247.08
1987-12-30,247.86,248.06,244.59,247.86
1987-12-29,244.59,245.88,244.28,244.59
1987-12-28,245.57,252.02,244.19,245.57
1987-12-24,252.02,253.16,251.68,252.02
1987-12-23,253.16,253.35,249.95,253.16
1987-12-22,249.95,249.97,247.01,249.95
1987-12-21,249.54,250.25,248.3,249.54
1987-12-18,249.16,249.18,242.98,249.16
1987-12-17,242.98,248.6,242.96,242.98
1987-12-16,248.08,248.11,242.8,248.08
1987-12-15,242.8,245.59,241.31,242.8
1987-12-14,242.19,242.34,235.04,242.19
1987-12-11,235.32,235.48,233.35,235.32
1987-12-10,233.57,240.05,233.4,233.57
1987-12-09,238.89,240.09,233.83,238.89
1987-12-08,234.91,234.92,228.69,234.91
1987-12-07,228.76,228.77,223.92,228.76
1987-12-04,223.92,225.77,221.24,223.92
1987-12-03,225.21,233.9,225.21,225.21
1987-12-02,233.45,234.56,230.31,233.45
1987-12-01,232.0,234.02,230.3,232.0
1987-11-30,230.3,240.34,225.78,230.3
1987-11-27,240.34,244.12,240.34,240.34
1987-11-25,244.1,246.54,244.08,244.1
1987-11-24,246.39,247.9,242.98,246.39
1987-11-23,242.99,242.99,240.5,242.99
1987-11-20,242.0,242.0,235.89,242.0
1987-11-19,240.05,245.55,239.7,240.05
1987-11-18,245.55,245.55,240.67,245.55
1987-11-17,243.04,243.41,240.93,243.04
1987-11-16,246.76,249.24,244.98,246.76
1987-11-13,245.64,249.42,245.64,245.64
1987-11-12,248.52,249.9,241.9,248.52
1987-11-11,241.9,243.86,239.0,241.9
